Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
856.4618,28 bytes,3000,0,1000,0.0090,0.0253,1.0420,2.4326,3.2732,2
852.7154,28 bytes,4000,0,10,0.0049,0.0104,0.0149,0.0193,0.0302,2
827.4014,28 bytes,4000,0,20,0.0073,0.0193,0.0312,0.0450,0.0767,3
905.6268,28 bytes,4000,0,50,0.0096,0.0382,0.0646,0.1041,0.2827,3
996.7571,28 bytes,3990,0,70,0.0077,0.0353,0.0634,0.1046,0.7656,3
771.8050,27 bytes,3966,34,80,0.0241,0.0591,0.0784,0.1083,0.9801,4
633.2604,28 bytes,4000,0,100,0.0342,0.0834,0.1105,0.1271,1.4145,1
563.4322,28 bytes,4000,0,125,0.0386,0.0659,0.0841,0.1215,3.7316,1
807.2111,28 bytes,3915,0,135,0.0096,0.0444,0.0793,0.1206,2.6060,1
877.3860,28 bytes,4000,0,160,0.0126,0.0501,0.0928,0.1509,1.8868,2
888.0887,28 bytes,3960,0,180,0.0173,0.0484,0.0780,0.1408,2.1887,2
1060.8724,28 bytes,4000,0,200,0.0186,0.0729,0.1088,0.1762,1.9271,3
1010.1721,28 bytes,3900,0,300,0.0150,0.0491,0.0861,0.2050,2.8223,3
1121.0232,28 bytes,4000,0,400,0.0139,0.0424,0.0809,0.3930,2.8406,3
776.8889,27 bytes,3684,316,500,0.0162,0.0354,0.1129,0.9355,3.7795,4
570.5415,28 bytes,4000,0,1000,0.0118,0.0200,0.3282,4.2271,6.5919,1
559.6632,28 bytes,4500,0,10,0.0110,0.0169,0.0208,0.0254,0.0368,1
855.5440,28 bytes,4500,0,20,0.0076,0.0201,0.0300,0.0407,0.0667,1
837.3640,28 bytes,4500,0,50,0.0089,0.0382,0.0649,0.0996,0.4432,2
791.2898,28 bytes,4480,0,70,0.0123,0.0543,0.0810,0.1142,0.6441,2
956.1631,28 bytes,4480,0,80,0.0112,0.0462,0.0794,0.1205,0.7488,3
1025.4904,28 bytes,4500,0,100,0.0108,0.0424,0.0717,0.1167,1.2511,3
1107.0743,28 bytes,4500,0,125,0.0066,0.0301,0.0692,0.1332,1.4725,3
1334.4154,28 bytes,4455,0,135,0.0119,0.0486,0.0807,0.1330,1.1670,4
1148.9348,28 bytes,4480,0,160,0.0092,0.0464,0.1056,0.1865,1.6656,4
